agent_id,reached,steps,path_length,run,model
0,False,400,401,1,greedy
1,False,400,401,1,greedy
2,False,400,401,1,greedy
3,False,400,401,1,greedy
4,False,400,401,1,greedy
5,False,400,401,1,greedy
6,False,400,401,1,greedy
7,False,400,401,1,greedy
8,False,400,401,1,greedy
9,False,400,401,1,greedy
0,True,38,39,2,greedy
1,True,38,39,2,greedy
2,True,38,39,2,greedy
3,True,38,39,2,greedy
4,True,38,39,2,greedy
5,True,38,39,2,greedy
6,True,38,39,2,greedy
7,True,38,39,2,greedy
8,True,38,39,2,greedy
9,True,38,39,2,greedy
0,True,24,25,1,astar
1,True,24,25,1,astar
2,True,24,25,1,astar
3,True,24,25,1,astar
4,True,24,25,1,astar
5,True,24,25,1,astar
6,True,24,25,1,astar
7,True,24,25,1,astar
8,True,24,25,1,astar
9,True,24,25,1,astar
0,True,20,21,2,astar
1,True,20,21,2,astar
2,True,20,21,2,astar
3,True,20,21,2,astar
4,True,20,21,2,astar
5,True,20,21,2,astar
6,True,20,21,2,astar
7,True,20,21,2,astar
8,True,20,21,2,astar
9,True,20,21,2,astar
0,False,400,401,1,pso_only
1,False,400,401,1,pso_only
2,False,400,401,1,pso_only
3,False,400,401,1,pso_only
4,False,400,401,1,pso_only
5,False,400,401,1,pso_only
6,False,400,401,1,pso_only
7,False,400,401,1,pso_only
8,False,400,401,1,pso_only
9,False,400,401,1,pso_only
0,True,118,119,2,pso_only
1,True,120,121,2,pso_only
2,True,115,116,2,pso_only
3,True,120,121,2,pso_only
4,True,119,120,2,pso_only
5,True,117,118,2,pso_only
6,True,122,123,2,pso_only
7,True,121,122,2,pso_only
8,True,124,125,2,pso_only
9,True,118,119,2,pso_only
0,False,400,401,1,rl_only
1,False,400,401,1,rl_only
2,False,400,401,1,rl_only
3,False,400,401,1,rl_only
4,False,400,401,1,rl_only
5,False,400,401,1,rl_only
6,False,400,401,1,rl_only
7,False,400,401,1,rl_only
8,False,400,401,1,rl_only
9,False,400,401,1,rl_only
0,False,400,401,2,rl_only
1,False,400,401,2,rl_only
2,False,400,401,2,rl_only
3,False,400,401,2,rl_only
4,False,400,401,2,rl_only
5,False,400,401,2,rl_only
6,False,400,401,2,rl_only
7,False,400,401,2,rl_only
8,False,400,401,2,rl_only
9,False,400,401,2,rl_only
0,False,400,401,1,hybrid
1,False,400,401,1,hybrid
2,False,400,401,1,hybrid
3,False,400,401,1,hybrid
4,False,400,401,1,hybrid
5,False,400,401,1,hybrid
6,False,400,401,1,hybrid
7,False,400,401,1,hybrid
8,False,400,401,1,hybrid
9,False,400,401,1,hybrid
0,False,400,401,2,hybrid
1,False,400,401,2,hybrid
2,False,400,401,2,hybrid
3,False,400,401,2,hybrid
4,False,400,401,2,hybrid
5,False,400,401,2,hybrid
6,False,400,401,2,hybrid
7,False,400,401,2,hybrid
8,False,400,401,2,hybrid
9,False,400,401,2,hybrid
0,True,58,53,1,dynamic_hybrid
1,True,58,51,1,dynamic_hybrid
2,True,42,41,1,dynamic_hybrid
3,True,54,53,1,dynamic_hybrid
4,True,45,43,1,dynamic_hybrid
5,True,56,51,1,dynamic_hybrid
6,True,51,47,1,dynamic_hybrid
7,True,55,55,1,dynamic_hybrid
8,True,60,61,1,dynamic_hybrid
9,True,52,47,1,dynamic_hybrid
0,True,58,59,2,dynamic_hybrid
1,True,39,41,2,dynamic_hybrid
2,True,56,53,2,dynamic_hybrid
3,True,49,45,2,dynamic_hybrid
4,True,47,47,2,dynamic_hybrid
5,True,45,45,2,dynamic_hybrid
6,True,41,41,2,dynamic_hybrid
7,True,52,47,2,dynamic_hybrid
8,True,55,53,2,dynamic_hybrid
9,True,48,45,2,dynamic_hybrid
